Team,Year,Rank,Result,Change,Combinations,Expected_Value,Lottery_Chance,Difference,Standard_deviation,Z
MIN,2017,6,7,-1,53.0,5.712470915760015,0.1813451096540335,-1.287529084239985,1.826097018001175,-0.7050715660492669
NYK,2017,7,8,-1,53.0,6.369553117455091,0.1813451096540335,-1.6304468825449092,2.0975523487211793,-0.7773092688432536
PHI,2017,8,3,5,28.0,7.602650922348895,0.09848891367769191,4.602650922348895,1.8794065412907677,2.4489916477505798
DAL,2017,9,9,0,17.0,8.712546766438543,0.060481946474193846,-0.28745323356145747,1.7220850730276192,-0.16692162197079055
SAC,2017,10,10,0,11.0,9.781683283464774,0.039371614316994916,-0.21831671653522555,1.588364087746882,-0.13744752743995303
CHA,2017,11,11,0,8.0,10.809125565467356,0.028718715643999325,-0.19087443453264363,1.5216229683110327,-0.12544134684330505
DET,2017,12,12,0,7.0,11.790772670439397,0.025153471292357517,-0.20922732956060308,1.5716330001460614,-0.13312734559605094
DEN,2017,13,13,0,6.0,12.783075461880165,0.02158113851508987,-0.21692453811983547,1.59419146282737,-0.13607182272517637
MIA,2017,14,14,0,5.0,13.786085641441774,0.018001747831576168,-0.21391435855822571,1.5836793173723904,-0.13507428947998654
PHI,2016,1,1,0,250.0,2.6455851758662936,0.640412815368183,1.6455851758662936,1.2033201260810082,1.3675373162964215
LAL,2016,2,2,0,199.0,2.977646877122144,0.5543148661550406,0.9776468771221438,1.3328160786104564,0.7335197202463235
BOS,2016,3,3,0,156.0,3.4035324086893057,0.4648485253021013,0.40353240868930573,1.4953226545140934,0.26986310109802625
PHX,2016,4,4,0,119.0,3.9650762072085204,0.37425554556264673,-0.03492379279147961,1.6686637379440845,-0.020929197415477052
MIN,2016,5,5,0,88.0,4.684179027736289,0.28853031240908245,-0.31582097226371086,1.8183800022539742,-0.17368260312598838
CHA/NOP,2016,6,6,0,63.0,5.548666639329785,0.21306438439844536,-0.45133336067021457,1.9192497021612116,-0.23516135506598287
DEN,2016,7,7,0,43.0,6.537463887477298,0.1488189689553407,-0.4625361125227023,1.9426892404986482,-0.23809063378761436
SAC,2016,8,8,0,19.0,7.820394165969009,0.06746517204168181,-0.1796058340309914,1.610555876421979,-0.1115179154355109
TOR,2016,9,9,0,19.0,8.6875964639764,0.06746517204168181,-0.3124035360236004,1.820354742248638,-0.17161684410902034
MIL,2016,10,10,0,18.0,9.585921286532333,0.0639796141740421,-0.4140787134676671,1.987142672143294,-0.20837895500530404
ORL,2016,11,11,0,8.0,10.809113223105676,0.02872093292621495,-0.19088677689432387,1.521673317711163,-0.12544530726309097
UTA,2016,12,12,0,7.0,11.790758355599747,0.025155412203516532,-0.20924164440025272,1.5716853772968007,-0.13313201701992997
PHX,2016,13,13,0,6.0,12.783060051024888,0.021582802809023457,-0.21693994897511182,1.5942449740067763,-0.13607692199893348
CHI,2016,14,14,0,5.0,13.786070014500588,0.018003135272499134,-0.2139299854994121,1.5837328599927412,-0.135079590064446
MIN,2015,1,1,0,250.0,2.6453988815397675,0.640550900186089,1.6453988815397675,1.2032278939896657,1.3674873145468314
NYK,2015,2,4,-2,199.0,2.9773494756583556,0.5544458056518548,-1.0226505243416444,1.3326349864329308,-0.7673898214836585
PHI,2015,3,3,0,156.0,3.4031092636589597,0.4649642763903354,0.4031092636589597,1.4950595248603549,0.26962756797032006
LAL,2015,4,2,2,119.0,3.9645479898544327,0.37435126324834894,1.9645479898544327,1.6683339430370003,1.1775508123261045
ORL,2015,5,5,0,88.0,4.683576746017335,0.28860481035257424,-0.3164232539826646,1.818016814464362,-0.17404858495541012
SAC,2015,6,6,0,63.0,5.548022865564858,0.21311937684664184,-0.4519771344351424,1.9188808386108187,-0.2355420541706764
DEN,2015,7,7,0,43.0,6.536808133918408,0.14885718434796708,-0.46319186608159235,1.9423259703057019,-0.23847277602363046
DET,2015,8,8,0,28.0,7.602527892001192,0.09852172144208043,-0.3974721079988077,1.8796357144133884,-0.21146230886704234
CHA,2015,9,9,0,17.0,8.712457055014408,0.060501978163225625,-0.2875429449855922,1.7223082272689587,-0.16695208234680806
MIA,2015,10,10,0,11.0,9.78161467440419,0.03938460743479916,-0.21838532559580948,1.5885779085199954,-0.13747221614032704
IND,2015,11,11,0,8.0,10.809065475010229,0.02872817503435114,-0.19093452498977115,1.5218328751397114,-0.1254635302659252
UTA,2015,12,12,0,7.0,11.79070713287019,0.025161750928581507,-0.20929286712980932,1.5718530233001795,-0.13315040530341005
PHX,2015,13,13,0,6.0,12.78300778317856,0.021588237547686163,-0.2169922168214402,1.594417560826664,-0.13609497421047934
SEA/OKC,2015,14,14,0,5.0,13.78601914314443,0.018007665454612035,-0.21398085685557078,1.5839065820205396,-0.13509689225648785
MIL,2014,1,2,-1,250.0,2.6459429934475205,0.6401630644852268,0.6459429934475205,1.2034843221634106,0.5367273852694306
PHI,2014,2,3,-1,199.0,2.978274452549272,0.5540718475726634,-0.021725547450727856,1.3332149501634452,-0.01629560743229321
ORL,2014,3,4,-1,156.0,3.404553597370076,0.4646306032567911,-0.595446402629924,1.495932061603992,-0.39804374671364756
UTA,2014,4,5,-1,104.0,4.111449146110604,0.33371888263227667,-0.888550853889396,1.6365004410120365,-0.5429579067756943
BOS,2014,5,6,-1,103.0,4.532685886543051,0.33095442635133443,-1.4673141134569487,1.8925917680107407,-0.7752935092807725
LAL,2014,6,7,-1,63.0,5.548265180762932,0.21295874016564648,-1.4517348192370676,1.9183973692745235,-0.7567435415041605
SAC,2014,7,8,-1,43.0,6.537084049572589,0.148745314836838,-1.4629159504274112,1.9418060274477498,-0.7533790346455063
CHA,2014,8,9,-1,28.0,7.6027755764341975,0.09844804365013962,-1.3972244235658025,1.8791027202277955,-0.743559364012002
CLE,2014,9,1,8,17.0,8.712639398802455,0.06045695817805628,7.712639398802455,1.7217945202270786,4.479419180510154
PHI,2014,10,10,0,11.0,9.78175550872091,0.03935539452589364,-0.21824449127909062,1.588088518788118,-0.13742589830297028
DEN,2014,11,11,0,8.0,10.80919138666541,0.028706902946978932,-0.19080861333459076,1.5213545294324937,-0.12542021576375595
ORL,2014,12,12,0,7.0,11.790848986934796,0.02514313063428095,-0.20915101306520434,1.5713537590249287,-0.13310243594987084
MIN,2014,13,13,0,6.0,12.783157604647172,0.021572271306424345,-0.21684239535282757,1.5939061779999513,-0.13604464199073718
PHX,2014,14,14,0,5.0,13.786168922989393,0.017994355427060963,-0.21383107701060666,1.583393862996792,-0.13504604382254062
ORL,2013,1,2,-1,250.0,2.64553772053647,0.64044854605958,0.6455377205364701,1.2032961729274665,0.5364745064932426
CHA,2013,2,4,-2,199.0,2.9775747625621873,0.5543485503128337,-1.0224252374378127,1.3327736697628005,-0.7671409337039035
CLE,2013,3,1,2,156.0,3.403434340755651,0.46487820530073176,2.403434340755651,1.4952629938952333,1.607365627697765
PHX,2013,4,5,-1,119.0,3.964956398131158,0.37428003679766775,-1.0350436018688418,1.6685911973947842,-0.6203098778687571
CHA/NOP,2013,5,6,-1,88.0,4.684044013161571,0.28854934643054847,-1.3159559868384294,1.8183020172656477,-0.7237279474712108
SAC,2013,6,7,-1,63.0,5.548523569527658,0.21307842048018655,-1.4514764304723418,1.9191719304909298,-0.7563034907982683
DET,2013,7,8,-1,36.0,6.678168256934801,0.12556501285953375,-1.3218317430651991,1.8258232735308633,-0.7239647791918976
